"","Date","Open","Close","Gibanje"
"1092",2012-03-02,12980.75,12977.57,0
"1093",2012-03-01,12952.29,12980.3,1
"1094",2012-02-29,13005.42,12952.07,0
"1095",2012-02-28,12976.74,13005.12,1
"1096",2012-02-27,12981.13,12981.51,1
"1097",2012-02-24,12981.2,12982.95,1
"1098",2012-02-23,12937.08,12984.69,1
"1099",2012-02-22,12966.22,12938.67,0
"1100",2012-02-21,12949.34,12965.69,1
"1101",2012-02-17,12903.33,12949.87,1
"1102",2012-02-16,12779.81,12904.08,1
"1103",2012-02-15,12864.65,12780.95,0
"1104",2012-02-14,12871.77,12878.28,1
"1105",2012-02-13,12799.11,12874.04,1
"1106",2012-02-10,12889.55,12801.23,0
"1107",2012-02-09,12884.41,12890.46,1
"1108",2012-02-08,12865.79,12883.95,1
"1109",2012-02-07,12844.37,12878.2,1
"1110",2012-02-06,12860.72,12845.13,0
"1111",2012-02-03,12705.04,12862.23,1
"1112",2012-02-02,12716.54,12705.41,0
"1113",2012-02-01,12632.76,12716.46,1
"1114",2012-01-31,12654.78,12632.91,0
"1115",2012-01-30,12659.17,12653.72,0
"1116",2012-01-27,12733.95,12660.46,0
"1117",2012-01-26,12757.33,12734.63,0
"1118",2012-01-25,12673.63,12756.96,1
"1119",2012-01-24,12708.37,12675.75,0
"1120",2012-01-23,12720.25,12708.82,0
"1121",2012-01-20,12623.83,12720.48,1
"1122",2012-01-19,12578.19,12623.98,1
"1123",2012-01-18,12474.69,12578.95,1
"1124",2012-01-17,12423.12,12482.07,1
"1125",2012-01-13,12469.96,12422.06,0
"1126",2012-01-12,12449.91,12471.02,1
"1127",2012-01-11,12459.52,12449.45,0
"1128",2012-01-10,12394.51,12462.47,1
"1129",2012-01-09,12359.31,12392.69,1
"1130",2012-01-06,12407.45,12359.92,0
"1131",2012-01-05,12418.42,12415.7,0
"1132",2012-01-04,12392.46,12418.42,1
"1133",2012-01-03,12221.19,12397.38,1
"1134",2011-12-30,12286.13,12217.56,0
"1135",2011-12-29,12152.09,12287.04,1
"1136",2011-12-28,12288.85,12151.41,0
"1137",2011-12-27,12293.47,12291.35,0
"1138",2011-12-23,12169.8,12294,1
"1139",2011-12-22,12107.59,12169.65,1
"1140",2011-12-21,12103.28,12107.74,1
"1141",2011-12-20,11769.21,12103.58,1
"1142",2011-12-19,11866.54,11766.26,0
"1143",2011-12-16,11870.25,11866.39,0
"1144",2011-12-15,11825.29,11868.81,1
"1145",2011-12-14,11949.72,11823.48,0
"1146",2011-12-13,12018.66,11954.94,0
"1147",2011-12-12,12181.08,12021.39,0
"1148",2011-12-09,11996.03,12184.26,1
"1149",2011-12-08,12195.91,11997.7,0
"1150",2011-12-07,12144.41,12196.37,1
"1151",2011-12-06,12097.75,12150.13,1
"1152",2011-12-05,12021.54,12097.83,1
"1153",2011-12-02,12022.37,12019.42,0
"1154",2011-12-01,12046.21,12020.03,0
"1155",2011-11-30,11559.27,12045.68,1
"1156",2011-11-29,11523.01,11555.63,1
"1157",2011-11-28,11232.47,11523.01,1
"1158",2011-11-25,11251.88,11231.78,0
"1159",2011-11-23,11492.74,11257.55,0
"1160",2011-11-22,11542.39,11493.72,0
"1161",2011-11-21,11795.55,11547.31,0
"1162",2011-11-18,11768.98,11796.16,1
"1163",2011-11-17,11905.67,11770.73,0
"1164",2011-11-16,12084.74,11905.59,0
"1165",2011-11-15,12077.92,12096.16,1
"1166",2011-11-14,12153,12078.98,0
"1167",2011-11-11,11896.28,12153.68,1
"1168",2011-11-10,11780.03,11893.79,1
"1169",2011-11-09,12166.4,11780.94,0
"1170",2011-11-08,12055.52,12170.18,1
"1171",2011-11-07,11983.02,12068.39,1
"1172",2011-11-04,12043.41,11983.24,0
"1173",2011-11-03,11835.59,12044.47,1
"1174",2011-11-02,11658.49,11836.04,1
"1175",2011-11-01,11951.53,11657.96,0
"1176",2011-10-31,12229.22,11955.01,0
"1177",2011-10-28,12207.34,12231.11,1
"1178",2011-10-27,11872.07,12208.55,1
"1179",2011-10-26,11707.76,11869.04,1
"1180",2011-10-25,11912.63,11706.62,0
"1181",2011-10-24,11807.96,11913.62,1
"1182",2011-10-21,11543.22,11808.79,1
"1183",2011-10-20,11502.13,11541.78,1
"1184",2011-10-19,11577.54,11504.62,0
"1185",2011-10-18,11396.17,11577.05,1
"1186",2011-10-17,11643.35,11397,0
"1187",2011-10-14,11478.97,11644.49,1
"1188",2011-10-13,11518.09,11478.13,0
"1189",2011-10-12,11417.36,11518.85,1
"1190",2011-10-11,11432.8,11416.3,0
"1191",2011-10-10,11104.56,11433.18,1
"1192",2011-10-07,11123.41,11103.12,0
"1193",2011-10-06,10939.87,11123.33,1
"1194",2011-10-05,10800.47,10939.95,1
"1195",2011-10-04,10651.44,10808.71,1
"1196",2011-10-03,10912.1,10655.3,0
"1197",2011-09-30,11152.32,10913.38,0
"1198",2011-09-29,11012.79,11153.98,1
"1199",2011-09-28,11189.1,11010.9,0
"1200",2011-09-27,11045.23,11190.69,1
"1201",2011-09-26,10771.78,11043.86,1
"1202",2011-09-23,10732.77,10771.48,1
"1203",2011-09-22,11121.89,10733.83,0
"1204",2011-09-21,11408.58,11124.84,0
"1205",2011-09-20,11401.47,11408.66,1
"1206",2011-09-19,11506.67,11401.01,0
"1207",2011-09-16,11433.71,11509.09,1
"1208",2011-09-15,11247.72,11433.18,1
"1209",2011-09-14,11106.83,11246.73,1
"1210",2011-09-13,11054.99,11105.85,1
"1211",2011-09-12,10990.01,11061.12,1
"1212",2011-09-09,11294.6,10992.13,0
"1213",2011-09-08,11414.86,11295.81,0
